Security	NOUN	B-noun.state
increased	VERB	B-verb.change
in	ADP	O
Mumbai	PROPN	B-noun.location
amid	ADP	O
terror	NOUN	B-noun.state
threats	NOUN	I-noun.state
ahead	ADP	O
of	ADP	O
Ganeshotsav	PROPN	B-noun.person
:	PUNCT	O
police	NOUN	B-noun.group
URL	X	O

Magic	ADJ	O
Key	NOUN	B-noun.person
Security	NOUN	I-noun.person
Locksmiths	NOUN	I-noun.person
Save	ADJ	O
?	PUNCT	O
NUMBER	NUM	B-noun.attribute
on	ADP	O
all	DET	O
Booked	VERB	B-verb.cognition
Services	NOUN	B-noun.act
with	ADP	O
@USER	PROPN	B-noun.person
URL	X	O
@USER	PROPN	B-noun.person

#HNIC	PROPN	B-noun.person
#HNIC	PROPN	I-noun.person
Hamsik	PROPN	I-noun.person
vows	VERB	B-verb.communication
to	ADP	O
challenge	VERB	B-verb.communication
for	ADP	O
title	NOUN	B-noun.communication
with	ADP	O
Napoli	PROPN	B-noun.location
:	PUNCT	O
The	DET	O
Slovakia	PROPN	B-noun.group
international	NOUN	I-noun.group
was	VERB	B-verb.stative
in	ADP	O
...	PUNCT	O
URL	X	O
on	ADP	O
@USER	PROPN	B-noun.person

Is	VERB	B-verb.stative
your	DET	O
cat	NOUN	B-noun.animal
safe	ADJ	O
from	ADP	O
disease	NOUN	B-noun.state
just	ADV	O
because	CONJ	O
he	PRON	O
got	VERB	B-verb.possession
a	DET	O
vaccine	NOUN	B-noun.artifact
?	PUNCT	O
It	PRON	O
depends	VERB	B-verb.stative
.	PUNCT	O
Find	VERB	B-verb.possession
out	PART	O
why	ADV	O
URL	X	O

I	PRON	O
posted	VERB	B-verb.contact
a	DET	O
new	ADJ	O
photo	NOUN	B-noun.artifact
to	ADP	O
Facebook	PROPN	B-noun.person
URL	X	O

European	ADJ	O
Study	NOUN	B-noun.act
Finds	VERB	B-verb.possession
Megaupload	PROPN	B-noun.act
Closure	NOUN	I-noun.act
Helped	VERB	B-verb.social
Blockbusters	PROPN	B-noun.artifact
,	PUNCT	O
Hurt	VERB	B-verb.perception
Smaller	ADJ	O
Pics	NOUN	B-noun.communication
:	PUNCT	O
Researchers	NOUN	B-noun.person
from	ADP	O
the	DET	O
Munich	PROPN	B-noun.substance
Sc	NOUN	I-noun.substance
...	PUNCT	O
URL	X	O

NUMBER	NUM	B-noun.state
Challenge	NOUN	I-noun.state
:	PUNCT	O
Move	VERB	B-verb.motion
a	DET	O
Mile	NOUN	B-noun.quantity
a	DET	O
Day	NOUN	B-noun.time
#getmefit2	NOUN	B-noun.person
URL	X	O
URL	X	O

Messi	PROPN	B-noun.person
,	PUNCT	O
who	PRON	O
is	AUX	O
recovering	VERB	B-verb.possession
from	ADP	O
a	DET	O
thigh	NOUN	B-noun.state
muscle	NOUN	I-noun.state
injury	NOUN	I-noun.state
,	PUNCT	O
rejoins	VERB	B-verb.social
the	DET	O
group	NOUN	B-noun.Tops
on	ADP	O
training	NOUN	B-noun.act
today	NOUN	B-noun.time
URL	X	O

Whatever	ADV	O
your	DET	O
sexual	ADJ	O
fantasy	NOUN	B-noun.person
@USER	PROPN	I-noun.person
has	AUX	O
probably	ADV	O
written	VERB	B-verb.creation
about	ADP	O
it	PRON	O
URL	X	O
Check	VERB	B-verb.cognition
out	PART	O
his	DET	O
hot	ADJ	O
&	CONJ	O
sexy	ADJ	O
short	ADJ	O
stories	NOUN	B-noun.communication
.	PUNCT	O

@USER	PROPN	B-noun.person
Checkout	VERB	O
&	CONJ	O
Share	VERB	B-verb.stative
NEW	ADJ	O
Single	NOUN	B-noun.person
@USER	PROPN	I-noun.person
&	CONJ	O
@USER	PROPN	B-noun.person
-	PUNCT	O
Playtime	NOUN	B-noun.time
URL	X	O
#RipMucho	NOUN	B-noun.person
#DoIt4Mucho	NOUN	B-noun.person
#FreeKush	NOUN	B-noun.person

Are	VERB	B-verb.stative
you	PRON	O
on	ADP	O
Google+	PROPN	B-noun.person
?	PUNCT	O
If	ADP	O
you	PRON	O
are	VERB	B-verb.stative
,	PUNCT	O
make	VERB	B-verb.social
sure	ADJ	O
to	ADP	O
follow	VERB	B-verb.motion
@USER	PROPN	B-noun.person
!	PUNCT	O
URL	X	O

'	PUNCT	O
Manuelgross/management	PROPN	B-noun.person
'	PUNCT	O
news	NOUN	B-noun.communication
URL	X	O
-	PUNCT	O
top	ADJ	O
stories	NOUN	B-noun.communication
by	ADP	O
RLloria	PROPN	B-noun.person
