@PERSONGUY6661	PROPN	O
I	PRON	O
have	VERB	B-verb.possession
n't	ADV	O
unfortunately	ADJ	O
:(	INTJ	O
I	PRON	O
missed	VERB	B-verb.stative
the	DET	O
chance	NOUN	B-noun.state
when	ADV	O
theycame	VERB	O
to	PART	O
the	DET	O
uk	PROPN	O
this	DET	O
year	NOUN	B-noun.time
,	PUNCT	O
you	PRON	O
seen	VERB	B-verb.perception
them	PRON	O
?	PUNCT	O

Stephen	PROPN	B-noun.person
,	PUNCT	O
the	DET	O
Intellectual	PROPN	B-noun.attribute
.	PUNCT	O
@bbhess	PROPN	O
I	PRON	O
bet	VERB	B-verb.competition
ppl	NOUN	B-noun.group
that	DET	O
design	VERB	B-verb.creation
book	NOUN	B-noun.artifact
covers	NOUN	I-noun.artifact
for	ADP	O
a	DET	O
living	NOUN	B-noun.state
hate	VERB	B-verb.emotion
when	ADV	O
people	NOUN	B-noun.group
say	VERB	B-verb.communication
do	AUX	O
n't	ADV	O
judge	VERB	B-verb.cognition
a	DET	O
book	NOUN	B-noun.communication
by	ADP	O
its	PRON	O
cover	NOUN	B-noun.artifact

I	PRON	O
miss	VERB	B-verb.emotion
being	VERB	B-verb.stative
able	ADJ	O
to	PART	O
run	VERB	B-verb.motion
and	CONJ	O
dance	VERB	B-verb.motion
around	PART	O
all	DET	O
day	NOUN	B-noun.time
instead	ADV	O
of	ADP	O
having	AUX	O
to	PART	O
catch	VERB	B-verb.possession
my	PRON	O
breath	NOUN	B-noun.act
every	DET	O
five	NUM	O
minutes	NOUN	B-noun.time
of	ADP	O
my	PRON	O
life	NOUN	B-noun.state
.	PUNCT	O

Is	AUX	O
all	DET	O
done	VERB	B-verb.creation
getting	VERB	B-verb.possession
things	NOUN	B-noun.group
set	VERB	B-verb.creation
up	PART	O
for	ADP	O
the	DET	O
Ultimate	PROPN	B-noun.communication
Magic	PROPN	I-noun.communication
playtest	NOUN	I-noun.communication
that	DET	O
starts	VERB	B-verb.change
on	ADP	O
Monday	PROPN	B-noun.time
.	PUNCT	O
Ca	AUX	O
n't	ADV	O
wait	VERB	B-verb.stative
to	PART	O
see	VERB	B-verb.perception
what	PRON	O
people	NOUN	B-noun.group
think	VERB	B-verb.cognition
.	PUNCT	O

I	PRON	O
've	AUX	O
never	ADV	O
found	VERB	B-verb.possession
a	DET	O
happy	ADJ	O
way	NOUN	B-noun.attribute
to	PART	O
preserve	VERB	B-verb.stative
it	PRON	O
but	CONJ	O
it	PRON	O
's	VERB	B-verb.stative
usually	ADV	O
affordable	ADJ	O
most	ADJ	O
of	ADP	O
the	DET	O
year	NOUN	B-noun.time
.	PUNCT	O
We	PRON	O
eat	VERB	B-verb.consumption
a	DET	O
lot	NOUN	B-noun.quantity
2	ADV	O
,	PUNCT	O
grilled	ADJ	O
saute	ADJ	O
bake	ADJ	O
or	CONJ	O
fried	ADJ	O

RT	X	O
@LilTwist	PROPN	O
:	PUNCT	O
RT	X	O
this	DET	O
if	ADP	O
you	PRON	O
want	VERB	B-verb.emotion
me	PRON	O
to	PART	O
go	VERB	B-verb.motion
back	ADV	O
live	ADV	O
on	ADP	O
Ustream	PROPN	B-noun.communication
later	ADV	O
tonight	NOUN	B-noun.time

Have	VERB	B-verb.stative
DJ	NOUN	B-noun.person
Got	VERB	B-verb.possession
Us	PRON	O
Fallin	VERB	B-verb.motion
in	ADP	O
Love	NOUN	B-noun.feeling
in	ADP	O
my	PRON	O
head	NOUN	B-noun.body
.	PUNCT	O
